time,dives,contracts,permits,raids
06-30-2023 23:59:59,413,212,137,0
07-02-2023 17:00:00,41,12,6,0
07-02-2023 18:04:47,0,0,0,0
07-02-2023 18:53:25,0,0,0,0
07-02-2023 19:42:12,0,0,1,0
07-02-2023 20:30:50,0,0,1,0
07-02-2023 21:19:28,1,0,0,0
07-02-2023 22:08:06,0,0,0,0
07-02-2023 22:56:52,0,0,0,0
07-02-2023 23:45:55,1,0,0,0
07-03-2023 00:34:57,2,2,0,0
07-03-2023 01:23:43,0,0,0,1
07-03-2023 02:12:28,0,0,0,0
07-03-2023 03:01:14,0,1,0,0
07-03-2023 03:49:50,0,0,0,0
07-03-2023 04:38:28,1,0,0,0
07-03-2023 05:29:59,0,0,0,0
07-03-2023 06:18:36,0,0,0,0
07-03-2023 07:07:29,1,1,0,0
07-03-2023 07:56:13,0,0,0,1
07-03-2023 08:44:57,0,0,0,0
07-03-2023 09:33:51,0,0,0,0
07-03-2023 10:22:45,1,1,1,0
07-03-2023 11:11:20,0,0,0,0
07-03-2023 12:00:00,1,1,0,0
07-03-2023 12:48:30,0,0,0,0
07-03-2023 13:37:16,1,0,0,1
07-03-2023 14:26:01,0,0,0,0
07-03-2023 15:14:55,0,0,0,0
07-03-2023 16:03:48,1,0,0,0
07-03-2023 16:52:50,2,0,1,0
07-03-2023 17:41:44,1,0,0,0
07-03-2023 18:30:37,0,0,0,0
07-03-2023 19:19:29,1,0,0,0
07-03-2023 20:08:32,1,0,0,0
07-03-2023 20:57:34,0,0,0,0
07-03-2023 21:46:35,1,1,0,0
07-03-2023 22:35:28,1,0,0,0
07-03-2023 23:24:22,0,0,0,0
07-04-2023 00:13:16,2,0,0,0
07-04-2023 01:02:09,1,0,1,0
07-04-2023 01:50:56,0,0,1,0
07-04-2023 02:39:32,1,0,0,0
07-04-2023 03:28:10,0,0,1,0
07-04-2023 04:16:55,1,0,0,0
07-04-2023 05:05:48,2,1,0,0
07-04-2023 05:54:35,1,0,0,0
07-04-2023 06:43:28,1,1,0,0
07-04-2023 07:32:13,0,0,0,0
07-04-2023 08:20:59,1,0,0,0
07-04-2023 09:09:44,0,0,1,0
07-04-2023 09:58:14,0,0,0,0
07-04-2023 10:46:51,0,0,1,0
07-04-2023 11:35:29,0,0,0,0
07-04-2023 12:24:14,2,0,0,1
07-04-2023 13:13:07,0,0,0,0
07-04-2023 14:02:08,0,0,0,0
07-04-2023 14:51:10,0,1,0,0
07-04-2023 15:40:05,0,0,0,0
07-04-2023 16:28:58,0,0,0,0
07-04-2023 17:17:49,0,0,0,0
07-04-2023 18:06:40,0,0,1,0
07-04-2023 18:55:21,0,0,0,0
07-04-2023 20:22:38,0,0,0,0
07-04-2023 21:11:24,1,0,0,0
07-04-2023 22:00:26,1,1,0,0
07-05-2023 07:27:45,4,0,0,0
07-05-2023 08:17:26,0,0,0,0
07-05-2023 09:06:27,1,0,0,0
07-05-2023 09:55:30,0,1,0,0
07-05-2023 10:44:24,0,0,0,0
07-05-2023 11:33:18,0,1,0,0
07-05-2023 12:22:02,0,0,1,0
